Harga_Satuan,Qty,Diskon_IDR,Total_Penjualan
150000,5,0,750000
1900000,1,0,1900000
150000,1,0,150000
95000,1,0,95000
75000,2,0,150000
185000,3,0,555000
150000,2,0,300000
95000,3,0,285000
1800000,1,0,1800000
150000,1,0,150000
185000,2,0,370000
150000,1,0,150000
150000,4,30000,570000
185000,1,9250,175750
95000,2,0,190000
150000,1,0,150000
150000,2,0,300000
95000,1,0,95000
95000,1,0,95000
2900000,1,0,2900000
50000,1,2500,47500
185000,1,0,185000
185000,5,0,925000
150000,1,0,150000
150000,3,0,450000
95000,3,0,285000
2900000,1,0,2900000
95000,2,0,190000
150000,5,0,750000
185000,3,0,555000
185000,1,0,185000
150000,3,22500,427500
150000,2,0,300000
50000,1,0,50000
150000,2,0,300000
50000,1,0,50000
185000,1,0,185000
185000,5,0,925000
150000,3,0,450000
95000,1,0,95000
150000,1,0,150000
185000,1,0,185000
95000,1,0,95000
95000,1,0,95000
150000,4,0,600000
150000,1,0,150000
185000,2,0,370000
95000,3,0,285000
150000,3,0,450000
50000,3,0,150000
1800000,1,0,1800000
95000,4,0,380000
1100000,1,0,1100000
185000,3,0,555000
50000,2,5000,95000
185000,3,0,555000
50000,1,0,50000
75000,1,0,75000
95000,2,0,190000
1100000,1,0,1100000
95000,4,0,380000
95000,5,0,475000
95000,2,0,190000
185000,3,0,555000
1800000,1,0,1800000
185000,4,0,740000
50000,1,0,50000
95000,1,0,95000
75000,2,0,150000
150000,2,0,300000
185000,1,0,185000
2900000,1,0,2900000
95000,2,0,190000
185000,1,9250,175750
95000,1,4750,90250
185000,2,0,370000
150000,2,0,300000
75000,1,0,75000
95000,1,0,95000
75000,3,11250,213750
185000,2,0,370000
185000,4,0,740000
1900000,1,0,1900000
95000,2,0,190000
150000,1,7500,142500
150000,1,7500,142500
2900000,1,145000,2755000
1900000,1,0,1900000
185000,2,18500,351500
150000,4,0,600000
50000,1,0,50000
150000,1,0,150000
185000,2,0,370000
150000,4,30000,570000
185000,2,0,370000
150000,2,0,300000
185000,2,0,370000
150000,1,7500,142500
95000,1,0,95000
185000,2,0,370000
185000,3,0,555000
185000,4,0,740000
1900000,1,0,1900000
150000,2,0,300000
1100000,1,55000,1045000
185000,3,0,555000
185000,1,0,185000
150000,3,0,450000
1100000,1,0,1100000
150000,2,0,300000
50000,1,0,50000
185000,2,0,370000
95000,4,0,380000
2900000,1,0,2900000
95000,3,0,285000
1800000,1,90000,1710000
150000,2,15000,285000
150000,1,0,150000
95000,4,0,380000
1800000,1,0,1800000
1800000,1,0,1800000
150000,1,0,150000
150000,1,0,150000
185000,2,0,370000
185000,1,0,185000
185000,1,0,185000
150000,1,0,150000
75000,4,0,300000
50000,2,0,100000
150000,1,0,150000
75000,1,0,75000
75000,2,0,150000
95000,2,0,190000
150000,1,0,150000
95000,3,0,285000
185000,1,0,185000
150000,4,0,600000
150000,2,0,300000
150000,1,7500,142500
75000,1,0,75000
150000,5,0,750000
150000,1,0,150000
75000,3,0,225000
50000,1,0,50000
1800000,1,0,1800000
150000,1,0,150000
50000,1,0,50000
95000,4,0,380000
1100000,1,0,1100000
150000,2,0,300000
150000,1,0,150000
150000,4,0,600000
185000,3,0,555000
50000,2,0,100000
1800000,1,0,1800000
185000,3,0,555000
185000,1,0,185000
150000,3,0,450000
185000,1,0,185000
50000,2,0,100000
150000,1,0,150000
95000,2,0,190000
185000,5,0,925000
150000,2,0,300000
95000,1,0,95000
185000,1,0,185000
1100000,1,0,1100000
150000,1,0,150000
75000,1,0,75000
150000,2,0,300000
2900000,1,0,2900000
50000,3,0,150000
1100000,1,0,1100000
75000,1,0,75000
95000,2,0,190000
150000,1,0,150000
1100000,1,0,1100000
150000,2,15000,285000
185000,1,0,185000
185000,2,0,370000
95000,1,0,95000
1900000,1,0,1900000
185000,2,0,370000
185000,2,0,370000
185000,2,0,370000
95000,3,0,285000
150000,1,0,150000
75000,2,0,150000
95000,1,0,95000
150000,2,0,300000
95000,4,0,380000
150000,1,0,150000
2900000,1,0,2900000
2900000,1,0,2900000
2900000,1,0,2900000
2900000,1,0,2900000
150000,1,0,150000
95000,3,0,285000
150000,4,30000,570000
150000,4,0,600000
75000,3,0,225000
95000,4,0,380000
150000,1,0,150000
185000,4,0,740000
150000,2,15000,285000
2900000,1,0,2900000
95000,2,0,190000
95000,2,0,190000
95000,2,0,190000
150000,2,0,300000
50000,5,0,250000
75000,2,0,150000
1100000,1,0,1100000
150000,1,0,150000
95000,1,0,95000
185000,2,0,370000
95000,4,0,380000
95000,1,0,95000
185000,1,0,185000
185000,1,9250,175750
1800000,1,0,1800000
150000,2,0,300000
150000,1,0,150000
75000,3,0,225000
185000,2,0,370000
75000,4,0,300000
185000,2,0,370000
95000,1,0,95000
95000,1,0,95000
150000,2,0,300000
95000,4,0,380000
150000,2,0,300000
75000,1,0,75000
150000,2,0,300000
150000,2,0,300000
185000,1,0,185000
2900000,1,0,2900000
150000,4,0,600000
150000,3,0,450000
50000,2,0,100000
95000,1,0,95000
95000,5,0,475000
150000,2,0,300000
185000,1,0,185000
185000,2,0,370000
75000,1,0,75000
150000,2,60000,240000
2900000,1,145000,2755000
185000,2,18500,351500
150000,3,90000,360000
185000,2,37000,333000
185000,2,37000,333000
150000,2,0,300000
50000,3,7500,142500
1800000,1,0,1800000
185000,1,0,185000
150000,4,0,600000
95000,1,0,95000
95000,1,4750,90250
50000,1,0,50000
75000,3,0,225000
185000,3,0,555000
2900000,1,0,2900000
50000,4,0,200000
150000,1,0,150000
1900000,1,0,1900000
150000,4,0,600000
50000,2,0,100000
50000,1,0,50000
150000,5,0,750000
50000,3,0,150000
150000,4,0,600000
1100000,1,0,1100000
185000,1,0,185000
150000,1,0,150000
75000,1,0,75000
185000,1,0,185000
75000,1,0,75000
150000,1,0,150000
150000,1,0,150000
95000,1,0,95000
2900000,1,0,2900000
185000,1,0,185000
185000,4,0,740000
185000,2,0,370000
150000,1,0,150000
150000,1,0,150000
50000,1,0,50000
185000,3,0,555000
150000,3,0,450000
2900000,1,0,2900000
2900000,1,0,2900000
150000,1,0,150000
50000,3,0,150000
95000,1,0,95000
1800000,1,0,1800000
150000,2,0,300000
1900000,1,0,1900000
95000,1,0,95000
150000,5,0,750000
150000,1,0,150000
185000,3,0,555000
185000,1,9250,175750
95000,4,0,380000
1900000,1,0,1900000
50000,5,0,250000
1900000,1,0,1900000
185000,1,0,185000
185000,1,0,185000
150000,2,0,300000
185000,1,0,185000
95000,2,0,190000
2900000,1,0,2900000
1900000,1,0,1900000
185000,1,0,185000
150000,1,0,150000
150000,4,0,600000
185000,4,0,740000
185000,1,0,185000
1900000,1,95000,1805000
75000,1,0,75000
150000,3,0,450000
50000,1,0,50000
150000,1,0,150000
50000,1,0,50000
185000,2,18500,351500
150000,1,7500,142500
150000,2,0,300000
1100000,1,0,1100000
50000,2,0,100000
185000,4,0,740000
150000,1,0,150000
185000,1,9250,175750
75000,1,0,75000
1900000,1,0,1900000
150000,2,0,300000
185000,5,0,925000
50000,4,0,200000
50000,4,0,200000
2900000,1,0,2900000
185000,3,0,555000
50000,3,0,150000
150000,1,0,150000
150000,2,0,300000
150000,2,0,300000
95000,2,0,190000
150000,4,0,600000
185000,1,0,185000
1100000,1,55000,1045000
1900000,1,0,1900000
95000,2,0,190000
75000,2,0,150000
185000,2,0,370000
50000,1,0,50000
185000,3,0,555000
95000,1,0,95000
150000,1,7500,142500
1800000,1,0,1800000
150000,1,0,150000
1100000,1,0,1100000
150000,1,0,150000
2900000,1,0,2900000
95000,2,0,190000
1100000,1,0,1100000
185000,2,0,370000
185000,1,0,185000
185000,1,0,185000
1100000,1,0,1100000
95000,5,0,475000
1100000,1,55000,1045000
150000,5,0,750000
150000,2,0,300000
185000,1,0,185000
95000,1,0,95000
150000,1,0,150000
95000,5,0,475000
150000,2,0,300000
95000,2,0,190000
50000,1,0,50000
1100000,1,0,1100000
1800000,1,90000,1710000
75000,1,0,75000
95000,2,0,190000
95000,1,0,95000
185000,1,0,185000
150000,3,0,450000
1100000,1,0,1100000
50000,1,0,50000
150000,3,0,450000
185000,2,0,370000
150000,2,15000,285000
150000,2,0,300000
95000,1,0,95000
150000,1,0,150000
185000,1,9250,175750
1800000,1,0,1800000
1100000,1,0,1100000
185000,5,0,925000
75000,3,0,225000
185000,2,0,370000
75000,2,0,150000
185000,1,9250,175750
150000,2,15000,285000
95000,2,0,190000
95000,1,0,95000
185000,1,0,185000
95000,3,0,285000
150000,5,0,750000
150000,1,0,150000
150000,1,0,150000
50000,2,0,100000
185000,1,0,185000
150000,1,0,150000
185000,2,0,370000
95000,5,0,475000
75000,1,0,75000
185000,2,18500,351500
1800000,1,0,1800000
95000,1,0,95000
185000,2,0,370000
1100000,1,0,1100000
185000,1,0,185000
95000,4,0,380000
150000,4,30000,570000
150000,2,0,300000
185000,1,0,185000
75000,1,0,75000
185000,1,0,185000
185000,2,0,370000
50000,4,0,200000
50000,1,0,50000
50000,1,0,50000
150000,3,0,450000
150000,4,0,600000
75000,1,0,75000
95000,1,0,95000
185000,2,0,370000
150000,1,0,150000
185000,1,0,185000
185000,1,0,185000
150000,3,0,450000
1800000,1,0,1800000
75000,1,0,75000
185000,3,0,555000
150000,1,0,150000
95000,1,0,95000
95000,2,0,190000
1900000,1,0,1900000
95000,2,0,190000
150000,2,0,300000
50000,3,0,150000
95000,1,0,95000
2900000,1,0,2900000
75000,2,0,150000
50000,4,0,200000
95000,1,0,95000
150000,2,15000,285000
75000,1,0,75000
150000,1,0,150000
185000,1,0,185000
150000,1,0,150000
1900000,2,190000,3610000
95000,5,0,475000
150000,1,0,150000
150000,4,0,600000
185000,2,0,370000
150000,1,0,150000
185000,3,27750,527250
185000,1,0,185000
185000,5,0,925000
185000,1,0,185000
50000,2,0,100000
50000,1,0,50000
150000,5,0,750000
95000,1,4750,90250
150000,1,0,150000
50000,5,0,250000
1100000,1,0,1100000
185000,1,0,185000
50000,1,0,50000
150000,5,0,750000
185000,1,0,185000
95000,2,0,190000
95000,3,0,285000
150000,5,0,750000
2900000,1,0,2900000
185000,4,0,740000
50000,1,0,50000
95000,3,0,285000
150000,2,0,300000
150000,3,0,450000
185000,2,0,370000
150000,1,0,150000
95000,2,9500,180500
95000,1,0,95000
150000,3,0,450000
2900000,1,0,2900000
150000,3,0,450000
75000,2,0,150000
95000,1,4750,90250
95000,1,0,95000
95000,1,0,95000
95000,3,0,285000
150000,1,0,150000
95000,1,0,95000
95000,1,0,95000
95000,3,0,285000
150000,2,0,300000
1900000,1,0,1900000
75000,2,0,150000
150000,5,0,750000
95000,4,0,380000
75000,1,3750,71250
95000,2,38000,152000
185000,3,27750,527250
150000,1,15000,135000
185000,1,9250,175750
95000,1,4750,90250
185000,3,55500,499500
95000,2,9500,180500
95000,2,0,190000
185000,2,0,370000
185000,3,0,555000
75000,1,3750,71250
50000,2,0,100000
185000,1,0,185000
150000,2,0,300000
185000,1,0,185000
75000,4,0,300000
150000,2,0,300000
95000,2,0,190000
1900000,1,0,1900000
95000,1,0,95000
95000,1,4750,90250
185000,2,0,370000
185000,2,0,370000
150000,1,7500,142500
50000,1,2500,47500
2900000,1,0,2900000
95000,2,0,190000
1100000,2,0,2200000
185000,1,9250,175750
185000,3,0,555000
185000,3,27750,527250
95000,1,0,95000
95000,2,0,190000
50000,1,0,50000
150000,1,7500,142500
50000,1,0,50000
185000,2,0,370000
1100000,1,0,1100000
95000,4,0,380000
75000,2,0,150000
1800000,1,0,1800000
150000,2,0,300000
2900000,1,0,2900000
185000,5,0,925000
75000,2,0,150000
1100000,1,0,1100000
150000,5,0,750000
1800000,2,0,3600000
185000,4,0,740000
95000,1,0,95000
95000,5,0,475000
150000,1,0,150000
75000,1,0,75000
95000,4,0,380000
2900000,1,145000,2755000
150000,3,0,450000
185000,5,0,925000
150000,4,0,600000
150000,2,0,300000
185000,2,0,370000
95000,5,0,475000
185000,2,0,370000
2900000,1,0,2900000
185000,2,0,370000
185000,1,0,185000
185000,1,0,185000
1800000,1,0,1800000
185000,5,0,925000
185000,1,0,185000
150000,3,0,450000
50000,2,0,100000
150000,1,0,150000
95000,1,0,95000
150000,1,0,150000
150000,2,0,300000
75000,3,0,225000
95000,3,0,285000
1100000,1,0,1100000
2900000,2,0,5800000
95000,1,0,95000
75000,3,0,225000
150000,2,0,300000
150000,5,37500,712500
150000,1,0,150000
95000,1,0,95000
185000,1,0,185000
75000,1,0,75000
95000,2,0,190000
150000,2,0,300000
150000,4,0,600000
95000,3,0,285000
1900000,1,0,1900000
150000,1,0,150000
150000,1,0,150000
150000,1,0,150000
95000,1,0,95000
95000,1,0,95000
150000,3,0,450000
50000,4,0,200000
185000,1,0,185000
95000,5,0,475000
185000,2,0,370000
185000,4,0,740000
150000,4,0,600000
185000,4,0,740000
1800000,1,90000,1710000
50000,3,0,150000
75000,4,0,300000
95000,1,4750,90250
185000,2,0,370000
150000,2,0,300000
150000,2,15000,285000
95000,1,0,95000
1800000,1,0,1800000
50000,1,0,50000
75000,5,0,375000
150000,2,0,300000
150000,3,0,450000
150000,1,0,150000
150000,1,7500,142500
150000,1,0,150000
185000,3,0,555000
95000,5,0,475000
1100000,1,0,1100000
95000,1,0,95000
150000,1,0,150000
95000,1,0,95000
185000,3,0,555000
1900000,1,0,1900000
150000,1,0,150000
95000,1,0,95000
50000,2,0,100000
1100000,1,55000,1045000
150000,1,0,150000
150000,1,0,150000
50000,1,0,50000
75000,4,0,300000
150000,1,0,150000
185000,1,0,185000
150000,1,0,150000
185000,4,0,740000
1800000,1,0,1800000
185000,1,0,185000
150000,3,0,450000
95000,3,0,285000
150000,3,0,450000
75000,2,0,150000
150000,1,0,150000
1900000,1,0,1900000
150000,1,0,150000
185000,4,37000,703000
185000,2,0,370000
75000,2,0,150000
150000,2,0,300000
150000,4,0,600000
95000,2,0,190000
150000,4,0,600000
50000,1,2500,47500
185000,1,9250,175750
185000,1,0,185000
185000,1,0,185000
95000,2,0,190000
150000,1,0,150000
95000,4,0,380000
95000,5,0,475000
2900000,2,0,5800000
75000,2,0,150000
95000,3,0,285000
185000,1,0,185000
1800000,1,0,1800000
1800000,1,0,1800000
50000,3,0,150000
95000,3,0,285000
150000,4,0,600000
50000,1,0,50000
185000,1,9250,175750
150000,2,0,300000
150000,1,7500,142500
1900000,1,0,1900000
150000,4,0,600000
95000,3,0,285000
150000,3,0,450000
150000,1,0,150000
150000,4,0,600000
1100000,1,0,1100000
95000,1,0,95000
185000,3,0,555000
75000,2,0,150000
1900000,1,0,1900000
95000,4,0,380000
185000,3,0,555000
95000,2,0,190000
150000,1,0,150000
150000,1,0,150000
150000,1,0,150000
150000,1,0,150000
95000,1,0,95000
95000,1,0,95000
150000,3,0,450000
2900000,1,0,2900000
1800000,1,0,1800000
2900000,2,0,5800000
50000,1,0,50000
50000,1,0,50000
150000,4,0,600000
150000,1,0,150000
50000,2,5000,95000
1100000,1,110000,990000
75000,1,3750,71250
1100000,1,110000,990000
185000,1,37000,148000
95000,2,9500,180500
150000,2,15000,285000
150000,1,7500,142500
150000,4,30000,570000
95000,1,0,95000
95000,1,0,95000
150000,1,0,150000
50000,3,0,150000
95000,1,4750,90250
150000,2,15000,285000
1100000,1,0,1100000
150000,2,0,300000
50000,3,0,150000
50000,4,0,200000
95000,1,4750,90250
185000,1,0,185000
95000,3,0,285000
150000,3,0,450000
150000,4,0,600000
185000,1,0,185000
75000,4,0,300000
1800000,1,0,1800000
95000,2,0,190000
95000,2,0,190000
150000,3,0,450000
50000,1,0,50000
150000,2,0,300000
150000,2,0,300000
150000,2,0,300000
185000,1,0,185000
150000,4,0,600000
50000,4,0,200000
185000,3,0,555000
1900000,1,0,1900000
75000,2,7500,142500
150000,2,0,300000
1100000,1,0,1100000
95000,1,0,95000
185000,4,0,740000
185000,2,0,370000
50000,3,0,150000
1100000,1,0,1100000
1100000,1,0,1100000
1800000,1,0,1800000
185000,4,0,740000
150000,4,0,600000
150000,1,0,150000
95000,2,9500,180500
185000,2,0,370000
75000,2,0,150000
2900000,1,0,2900000
185000,4,0,740000
95000,1,0,95000
185000,2,0,370000
150000,1,0,150000
1900000,1,0,1900000
95000,3,0,285000
95000,1,0,95000
185000,1,0,185000
75000,2,0,150000
185000,2,0,370000
95000,4,0,380000
95000,2,0,190000
50000,2,0,100000
150000,1,7500,142500
185000,1,0,185000
150000,2,0,300000
50000,2,0,100000
95000,1,0,95000
185000,1,0,185000
1100000,1,0,1100000
185000,2,0,370000
150000,1,0,150000
95000,2,0,190000
185000,1,0,185000
50000,4,0,200000
150000,1,0,150000
150000,2,0,300000
95000,3,0,285000
95000,3,0,285000
150000,1,0,150000
50000,1,0,50000
150000,1,0,150000
1900000,1,0,1900000
50000,1,0,50000
75000,3,0,225000
150000,1,0,150000
185000,1,0,185000
150000,4,0,600000
185000,2,0,370000
95000,3,0,285000
95000,2,0,190000
150000,1,0,150000
95000,5,0,475000
185000,1,0,185000
50000,1,0,50000
75000,3,0,225000
150000,2,0,300000
75000,1,0,75000
1900000,1,0,1900000
95000,1,0,95000
75000,2,0,150000
1100000,1,0,1100000
1900000,1,0,1900000
185000,1,0,185000
1800000,2,0,3600000
150000,2,0,300000
185000,3,0,555000
150000,2,0,300000
95000,2,0,190000
95000,1,0,95000
1900000,1,0,1900000
95000,2,0,190000
50000,3,0,150000
1900000,1,0,1900000
2900000,1,145000,2755000
150000,2,0,300000
95000,2,0,190000
150000,2,0,300000
50000,4,0,200000
95000,1,0,95000
75000,1,0,75000
185000,2,0,370000
95000,1,0,95000
95000,5,0,475000
95000,1,0,95000
185000,1,0,185000
150000,1,0,150000
150000,4,0,600000
1800000,1,0,1800000
50000,1,0,50000
1100000,1,0,1100000
150000,2,15000,285000
185000,1,0,185000
150000,2,0,300000
185000,2,0,370000
95000,2,0,190000
95000,1,0,95000
185000,3,0,555000
1800000,1,0,1800000
150000,1,0,150000
1800000,1,0,1800000
150000,1,0,150000
185000,1,0,185000
150000,1,0,150000
185000,1,0,185000
95000,2,0,190000
1900000,1,0,1900000
1900000,1,0,1900000
185000,1,0,185000
2900000,1,0,2900000
50000,1,0,50000
95000,1,0,95000
95000,2,0,190000
150000,2,0,300000
2900000,1,0,2900000
150000,1,0,150000
95000,2,0,190000
150000,4,30000,570000
150000,3,0,450000
95000,1,0,95000
185000,2,0,370000
95000,2,0,190000
150000,1,0,150000
185000,1,0,185000
1800000,1,0,1800000
75000,5,0,375000
95000,4,0,380000
1100000,1,0,1100000
95000,1,4750,90250
75000,2,0,150000
1100000,1,0,1100000
185000,3,27750,527250
75000,2,0,150000
150000,4,0,600000
185000,2,0,370000
75000,2,0,150000
95000,3,0,285000
75000,1,0,75000
185000,2,0,370000
150000,2,0,300000
1100000,1,0,1100000
150000,3,0,450000
150000,4,0,600000
95000,1,0,95000
150000,3,22500,427500
150000,4,30000,570000
95000,3,0,285000
